Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Canada,CAN,Total fisheries production (metric tons),ER.FSH.PROD.MT,1081632,1110261,1290703,1401482,1396403,1418765,1540064,1450248,1605848,1578085,1542705,1451569,1252524,1235828,1139577,1155863,1262957,1401500,1561669,1601644,1544533,1642251,1585178,1440658,1346534,1505755,1574201,1682114,1825005,1751873,1789250,1609416,1445494,1241291,1175751,1013617,1267705,1356067,1382842,1389943,1249275,1426771,1565823,1584512,1684727,1590423,1590984,1421109,1338863,1202632,1205112,1147315.33,1086885.23,1156413.36,1084102.53,1091025.5,1151671.43,1129066.29,1110817.15,980562.12,911081.32,,
Central Europe and the Baltics,CEB,Total fisheries production (metric tons),ER.FSH.PROD.MT,254769,262148,254931,302426,346415,392719,437848,472263,553364,580747,666466,731195,784804,828504,974119,1144627,1095684,1005959,868360,914981,989755,978764,1021788,1169126,1130750,1076897,1087259,1110155,2460751,2287489,1864990,1904878,1208647.08,958208.27,901936.01,943987.05,822440,755817.49,678129.08,691542.19,691529.24,757069.12,740595.54,684416.04,722991.12,707902.09,701723.3,773621.08,776310.79,854679.73,782992.39,771320.89,620043.39,707284.08,758228.74,674270.8,751547.6,756174.74,762633.74,751336.93,717875.36,,
Switzerland,CHE,Total fisheries production (metric tons),ER.FSH.PROD.MT,2500,2800,2800,3300,2800,2700,3000,3000,3500,3500,2400,2800,3600,3600,3800,3900,3915,3982,3820,3890,3500,3676,3369,3540,4113,4564,4657,4523,4227,4483,4228,4829,3945,2957,2716,2749,3002,3009,2959,2975,2759,2850,2679,2915,2807,2952,2904,2869,3300,3433,3362,3564,3474,3600,3576,3616,3584,3665,3396,3430.44,3534.03,,
Channel Islands,CHI,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,348906,443239,645982,775431,1177627,730625,1405958,1086208,1392712,1110346,1230759,1516615,821332,694716,1172133,970659,1443268,1379031,2002897,2706247,2899909,3504850,3846789,4167509,4674028,4986865,5695537,4931660,5376435,6633478,5424993,6166313,6627364,6191764,8021446,7891112,7232842,6365725,3824608,5587318,4972652,4663433,5132740,4528441,6013543,5477537,5294199,4939022,4810224,4702903,3761557,4436497,4083083.31,3334593.04,3820107,3189300,2876719.41,3554763.22,3657643.76,3787588.99,3688254.11,,
China,CHN,Total fisheries production (metric tons),ER.FSH.PROD.MT,3173600,3173600,3280400,3348000,3483200,3690000,3825200,3825200,3931900,4067100,3970690,4494570,4996282,4922582,5360583,5654493,5703574,6411153,6438622,5973332,6252312,6174007,6766618,7327544,8211953,9236137,10416481,11733919,13189029,14326208,15107495,17147309,20607711,24697356,29231422,33865204,37799524,38467260,41144461,43209033,44573574,45506377,47586869,49490650,51958654,53793997,55906797.49,57517796.3,59230149.73,61125855.71,62843813.78,64411221.25,67528903.81,70662625.2,73683870.14,76016876.27,78337639.43,79935166.11,80966168.45,82593752,83929521.5,,
Cote d'Ivoire,CIV,Total fisheries production (metric tons),ER.FSH.PROD.MT,40500,42100,43600,45600,54600,59500,60800,66100,68400,67400,64302,77530,75199,60763,66690,58590,75917,67054,65012,73621,70068,75586,73753,79858,73701,101927,103648,101682,89506,99171,95100,83108,87345,70174,74095,70575,73839,67617,73390,79273,81520,77030,70676,69769,55267,43531,55696,48590,45089,44233,49738,55862,56234.86,65052.58,78568.87,102549.44,108654.27,99271.12,113626.35,113654.05,108031.36,,
Cameroon,CMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,51700,56500,58100,59400,59800,61100,62600,63400,65100,68100,68800,64700,60400,57600,55736,66280,70397,70172,68878,81236,81085,79818,83101,77397,75581,74099,72104,70773,70966,69967,70848,69392,72032,65307,79070,94188,98587,102067,106867,110067,112159,121181,130465,118186,129395,142747,137667,139158,155846,172546,181570,190571,199840,208195,216575,225955,235505,269251,284702,300060.82,285186,,
Congo, Dem. Rep.,COD,Total fisheries production (metric tons),ER.FSH.PROD.MT,77000,75000,77000,69500,75000,81000,84000,93400,127700,149300,136600,123900,124200,156900,128810,113380,117858,107000,108706,115182,102415,102640,100700,102000,148300,148456,156514,162300,162600,167000,163400,166550,188570,197489,156547,159227,163610,163211,179874,210441,246695,234122,240655,237340,238717,237829,237582,237272.5,234472,231388,227516,224280,220929,230333,232533,233733,240598,241280,241330,241440,221340,,
Congo, Rep.,COG,Total fisheries production (metric tons),ER.FSH.PROD.MT,11000,11000,12600,12500,13600,14000,14200,13600,14100,13900,14399,16010,24526,22200,23718,23103,26869,24364,26297,29630,31965,29665,30835,35255,32854,29939,32083,38386,43320,46549,48754,45577,40183,46982,42785,45915,45579,38181,43095,43699,46024,48894,51995,53934,57096,54696,59103,59241,54319,61461,65471,73568,81555,73791,74056,69928,87477,95727,99374,71080.84,71537.35,,
